datetime,site_id,site_name,lat,lon
2018-05-10 19:57:27,1871,Amador St @ Stutz Alley B,38.111121,-122.243314
2018-05-10 19:57:53,8746,Amesbury MA,42.863609,-70.924946
2018-05-10 19:56:56,8747,Amesbury MA B,42.863609,-70.924946
2018-05-10 19:57:58,7274,Ankeny Row_Burnside,45.522683,-122.639815
2018-05-10 19:57:04,7275,Ankeny Row_Burnside B,45.522683,-122.639815
2018-05-10 19:57:33,1134,"Ann Arbor, MI",42.255366,-83.755481
2018-05-10 19:56:43,1135,"Ann Arbor, MI B",42.255366,-83.755481
2018-05-10 19:57:36,5082,Annapolis Beach House,38.948854,-76.471498
2018-05-10 19:56:46,5083,Annapolis Beach House B,38.948854,-76.471498
2018-05-10 19:56:41,3924,APCD La Casa,39.77946,-105.005124
2018-05-10 19:57:11,3925,APCD La Casa B,39.77946,-105.005124
2018-05-10 19:50:46,3483,APIFM,34.065706,-118.143297
2018-05-10 19:57:20,1734,APIFM 1,34.088141,-118.135187
2018-05-10 19:57:50,1735,APIFM 1 B,34.088141,-118.135187
2018-05-10 19:51:18,3484,APIFM B,34.065706,-118.143297
2018-05-10 19:57:37,3142,Apple Valley,34.535114,-117.116145
2018-05-10 19:56:47,3143,Apple Valley B,34.535114,-117.116145
2018-05-10 19:57:30,5644,APPLEGARDEN,44.967794,-93.660038
2018-05-10 19:57:56,5645,APPLEGARDEN B,44.967794,-93.660038
2018-05-10 19:57:55,6470,AQMD_Carson_FML,33.816,-118.23275
2018-05-10 19:57:06,6471,AQMD_Carson_FML B,33.816,-118.23275
2018-05-10 19:57:42,6452,AQMD_CELA,34.066423,-118.226591
2018-05-10 19:56:51,6453,AQMD_CELA B,34.066423,-118.226591
2018-05-10 19:57:46,6886,AQMD_Compton,33.901365,-118.205055
2018-05-10 19:56:55,6887,AQMD_Compton B,33.901365,-118.205055
2018-05-10 19:57:31,1850,AQMD_NASA_10,34.064682,-118.297535
2018-05-10 19:56:41,1851,AQMD_NASA_10 B,34.064682,-118.297535
2018-05-10 19:56:19,2012,AQMD_NASA_12,34.092176,-118.263556
2018-05-10 19:24:31,2013,AQMD_NASA_12 B,34.092176,-118.263556
2018-05-10 19:57:20,1856,AQMD_NASA_13,34.082261,-118.181925
2018-05-10 19:57:50,1857,AQMD_NASA_13 B,34.082261,-118.181925
2018-05-10 19:57:35,1970,AQMD_NASA_14,33.99827,-118.437545
2018-05-10 19:56:45,1971,AQMD_NASA_14 B,33.99827,-118.437545
2018-05-10 19:57:39,1816,AQMD_NASA_16,33.763767,-118.145649
2018-05-10 19:56:49,1817,AQMD_NASA_16 B,33.763767,-118.145649
2018-05-10 19:57:39,2029,AQMD_NASA_17,34.062618,-118.247131
2018-05-10 19:56:49,2030,AQMD_NASA_17 B,34.062618,-118.247131
